accountid,accountnumber,name,telephone1
307b2530-1d17-f111-8342-002248932d19,ACC1001,Contoso Australia,+61 3 9000 1001
307b2530-2d17-f111-8342-002248932d19,ACC1002,Fabrikam Melbourne,+61 3 9000 1002
307b2530-3d17-f111-8342-002248932d19,ACC1003,Adventure Works Sydney,+61 2 9000 1003
307b2530-4d17-f111-8342-002248932d19,ACC1004,Northwind Traders Brisbane,+61 7 9000 1004
307b2530-5d17-f111-8342-002248932d19,ACC1005,Blue Yonder Perth,+61 8 9000 1005
307b2530-6d17-f111-8342-002248932d19,ACC1006,Coho Winery Adelaide,+61 8 9000 1006
307b2530-7d17-f111-8342-002248932d19,ACC1007,Fourth Coffee Canberra,+61 2 9000 1007
307b2530-8d17-f111-8342-002248932d19,ACC1008,Graphic Design Institute Hobart,+61 3 9000 1008
307b2530-9d17-f111-8342-002248932d19,ACC1009,Alpine Ski House Darwin,+61 8 9000 1009
307b2530-1017-f111-8342-002248932d19,ACC1010,Wide World Importers Gold Coast,+61 7 9000 1010
307b2530-1117-f111-8342-002248932d19,ACC1011,Tailspin Toys Newcastle,+61 2 9000 1011
307b2530-1217-f111-8342-002248932d19,ACC1012,Proseware Geelong,+61 3 9000 1012
